model,gamma,dataset,task,feature_group,auc,accuracy
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Baseline,0.8481684981684982,0.8300000000000001
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Real-U,0.8481684981684982,0.8300000000000001
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Rand-U,0.8481684981684982,0.8300000000000001
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Baseline,0.6291208791208791,0.0
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Real-U,0.6434065934065935,0.0
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Rand-U,0.6293040293040292,0.0
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Baseline,0.7683150183150185,0.7300000000000001
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Real-U,0.7794871794871796,0.77
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Rand-U,0.7661172161172163,0.74
Llama-3.1-8B-Instruct,1,mmlu,5A_Correctness,Baseline,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,1,mmlu,5A_Correctness,Real-U,0.839010989010989,0.8200000000000001
Llama-3.1-8B-Instruct,1,mmlu,5A_Correctness,Rand-U,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,1,mmlu,5B_ReasoningDemand,Baseline,0.6316849816849817,0.0
Llama-3.1-8B-Instruct,1,mmlu,5B_ReasoningDemand,Real-U,0.6412087912087913,0.0
Llama-3.1-8B-Instruct,1,mmlu,5B_ReasoningDemand,Rand-U,0.6227106227106227,0.0
Llama-3.1-8B-Instruct,1,medqa,5A_Correctness,Baseline,0.7521978021978022,0.7300000000000001
Llama-3.1-8B-Instruct,1,medqa,5A_Correctness,Real-U,0.7613553113553113,0.7699999999999999
Llama-3.1-8B-Instruct,1,medqa,5A_Correctness,Rand-U,0.75,0.7300000000000001
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Baseline,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Real-U,0.839010989010989,0.8200000000000001
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Rand-U,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Baseline,0.6316849816849817,0.0
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Real-U,0.6412087912087913,0.0
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Rand-U,0.6227106227106227,0.0
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Baseline,0.7521978021978022,0.7300000000000001
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Real-U,0.7613553113553113,0.7699999999999999
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Rand-U,0.75,0.7300000000000001
