model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.5457875457875458,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.6523809523809524,0.71
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.5549450549450549,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.5758241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.7093406593406593,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.8445054945054945,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.3771062271062271,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.5598901098901099,0.61
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.3551282051282051,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Baseline,0.5763736263736263,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Real-U,0.7056776556776556,0.74
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Rand-U,0.5415750915750916,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Baseline,0.558974358974359,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Real-U,0.6576923076923077,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Rand-U,0.8494505494505494,0.0
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Baseline,0.5639194139194139,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Real-U,0.6065934065934065,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Rand-U,0.5783882783882783,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Baseline,0.5763736263736263,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Real-U,0.7056776556776556,0.74
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Rand-U,0.5415750915750916,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Baseline,0.558974358974359,0.0
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Real-U,0.6576923076923077,0.0
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Rand-U,0.8494505494505494,0.0
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Baseline,0.5639194139194139,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Real-U,0.6065934065934065,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Rand-U,0.5783882783882783,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Baseline,0.5893772893772894,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Real-U,0.678937728937729,0.74
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Rand-U,0.5754578754578754,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Baseline,0.5659340659340659,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Real-U,0.6613553113553113,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Rand-U,0.8516483516483516,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Baseline,0.39761904761904765,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Real-U,0.5855311355311356,0.64
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Rand-U,0.36941391941391943,0.6599999999999999
